Klasse;Kind;L1;Literacy;AoA;Gender;Ballungsgebiete;Kompetenzstufe
1;r095;R;0;1;m;T-wert;1,00
1;t087;T;0;0;f;T-wert;1,00
1;t006;T;0;1;m;T-wert;2,00
1;r061;R;0;0;m;T-wert;2,00
1;r079;R;1;0;m;T-wert;2,50
1;t088;T;1;0;f;T-wert;3,00
1;t114;T;0;1;f;T-wert;3,00
1;t102;T;1;1;f;T-wert;3,00
1;r023;R;0;0;m;T-wert;3,00
1;t098;T;1;0;m;T-wert;3,00
1;r028;R;1;0;f;T-wert;3,00
1;t051;T;1;0;f;T-wert;3,00
1;t068;T;0;1;f;T-wert;3,50
1;r051;R;0;0;m;T-wert;4,00
1;t090;T;1;0;m;T-wert;4,00
1;t075;T;1;1;f;T-wert;4,00
1;t089;T;1;0;f;T-wert;4,00
1;r059;R;1;0;m;T-wert;4,00
1;r092;R;1;0;f;T-wert;4,00
1;t063;T;1;0;f;T-wert;4,00
1;r009;R;1;1;f;T-wert;4,00
1;r035;R;0;1;m;T-wert;4,00
1;r062;R;0;0;m;T-wert;4,00
1;r027;R;1;0;m;T-wert;4,50
1;t049;T;0;0;m;T-wert;4,50
1;t074;T;1;0;m;T-wert;4,50
1;t059;T;1;1;m;T-wert;4,50
1;r024;R;1;0;f;T-wert;5,00
1;r026;R;1;1;f;T-wert;5,00
1;r049;R;1;1;f;T-wert;5,00
1;r055;R;0;0;m;T-wert;5,00
1;r103;R;0;1;m;T-wert;5,00
1;t061;T;0;1;f;T-wert;5,00
1;r066;R;1;1;f;T-wert;5,00
1;t018;T;1;0;f;T-wert;5,00
1;r063;R;0;0;f;T-wert;5,00
1;r032;R;1;1;f;T-wert;6,00
1;r042;R;1;1;f;T-wert;6,00
2;r061;R;0;0;m;T-wert;4,00
2;t087;T;0;0;f;T-wert;4,00
2;r095;R;0;1;m;T-wert;4,00
2;r028;R;1;0;f;T-wert;4,50
2;t068;T;0;1;f;T-wert;4,50
2;t006;T;0;1;m;T-wert;5,00
2;t102;T;1;1;f;T-wert;5,00
2;t049;T;0;0;m;T-wert;5,00
2;t051;T;1;0;f;T-wert;5,00
2;r023;R;0;0;m;T-wert;5,00
2;t088;T;1;0;f;T-wert;5,00
2;r062;R;0;0;m;T-wert;5,50
2;r103;R;0;1;m;T-wert;5,50
2;r009;R;1;1;f;T-wert;5,50
2;t075;T;1;1;f;T-wert;5,50
2;t090;T;1;0;m;T-wert;5,00
2;t114;T;0;1;f;T-wert;6,00
2;r026;R;1;1;f;T-wert;6,00
2;r049;R;1;1;f;T-wert;6,00
2;t061;T;0;1;f;T-wert;6,00
2;r027;R;1;0;m;T-wert;6,00
2;r051;R;0;0;m;T-wert;6,00
2;t059;T;1;1;m;T-wert;6,00
2;t098;T;1;0;m;T-wert;6,00
2;r079;R;1;0;m;T-wert;6,00
2;r035;R;0;1;m;T-wert;6,00
2;t089;T;1;0;f;T-wert;6,00
2;t074;T;1;0;m;T-wert;6,00
2;r092;R;1;0;f;T-wert;6,50
2;r059;R;1;0;m;T-wert;7,00
2;t063;T;1;0;f;T-wert;7,00
2;r024;R;1;0;f;T-wert;7,00
2;r063;R;1;0;f;T-wert;7,00
2;r066;R;1;1;f;T-wert;7,00
2;r032;R;1;1;f;T-wert;7,50
2;r055;R;0;0;m;T-wert;7,50
2;t018;T;1;0;f;T-wert;8,00
2;r042;R;1;1;f;T-wert;8,50
3;r061;R;0;0;m;T-wert;5,00
3;t087;T;0;0;f;T-wert;5,00
3;r095;R;0;1;m;T-wert;5,00
3;r035;R;0;1;m;T-wert;5,50
3;t068;T;0;1;f;T-wert;6,00
3;r028;R;1;0;f;T-wert;6,00
3;t114;T;0;1;f;T-wert;6,00
3;r055;R;0;0;m;T-wert;6,00
3;t006;T;0;1;m;T-wert;6,00
3;r023;R;0;0;m;T-wert;6,00
3;r026;R;1;1;f;T-wert;6,00
3;r051;R;0;0;m;T-wert;6,00
3;r062;R;0;0;m;T-wert;6,00
3;t075;T;1;1;f;T-wert;6,00
3;t088;T;1;0;f;T-wert;6,00
3;t102;T;1;1;f;T-wert;6,50
3;r009;R;1;1;f;T-wert;6,50
3;r059;R;1;0;m;T-wert;7,00
3;t051;T;1;0;f;T-wert;7,00
3;t089;T;1;0;f;T-wert;7,00
3;t049;T;0;0;m;T-wert;7,00
3;r092;R;1;0;f;T-wert;7,00
3;t090;T;1;0;m;T-wert;7,00
3;r027;R;1;0;m;T-wert;7,00
3;r049;R;1;1;f;T-wert;7,00
3;r103;R;0;1;m;T-wert;7,00
3;t098;T;1;0;m;T-wert;7,00
3;t063;T;1;0;f;T-wert;7,50
3;r079;R;1;0;m;T-wert;7,50
3;t074;T;1;0;m;T-wert;7,50
3;t061;T;0;1;f;T-wert;8,00
3;r024;R;1;0;f;T-wert;8,00
3;t059;T;1;1;m;T-wert;8,00
3;r063;R;1;0;f;T-wert;8,00
3;r032;R;1;1;f;T-wert;8,00
3;r042;R;1;1;f;T-wert;8,00
3;r066;R;1;1;f;T-wert;8,00
3;t018;T;1;0;f;T-wert;8,50